word1,count,Prob
bomber,1,0.000106045
bond,2,0.000212089
bondi,1,0.000106045
bone,1,0.000106045
bonus,1,0.000106045
boo,1,0.000106045
book,8,0.000848356
boon,1,0.000106045
boost,3,0.000318134
booth,1,0.000106045
booz,1,0.000106045
bore,1,0.000106045
born,4,0.000424178
boss,1,0.000106045
boston,2,0.000212089
bottl,1,0.000106045
bound,2,0.000212089
bouquet,1,0.000106045
bout,1,0.000106045
bowi,1,0.000106045
bowl,2,0.000212089
bowlingdo,1,0.000106045
boy,5,0.000424178
bpg,1,0.000106045
brainstorm,1,0.000106045
brais,1,0.000106045
branch,1,0.000106045
brand,1,0.000106045
brandon,1,0.000106045
brass,1,0.000106045
brave,1,0.000106045
breach,2,0.000212089
break,5,0.000530223
breakfast,2,0.000212089
breath,4,0.000424178
breez,1,0.000106045
brianana,1,0.000106045
bribe,1,0.000106045
brick,1,0.000106045
bride,3,0.000318134
bridg,1,0.000106045
brighten,2,0.000212089
brilliant,2,0.000212089
brimston,1,0.000106045
bring,7,0.000742312
bro,2,0.000212089
broad,2,0.000212089
broadband,1,0.000106045
broadcast,2,0.000212089
broccoli,1,0.000106045
broke,1,0.000106045
brooklyn,1,0.000106045
brotha,1,0.000106045
brother,4,0.000424178
brought,2,0.000212089
brown,6,0.000636267
bruce,1,0.000106045
brunch,1,0.000106045
brunswick,1,0.000106045
brush,1,0.000106045
brusqu,1,0.000106045
brussel,1,0.000106045
brutal,1,0.000106045
bryan,1,0.000106045
bs,1,0.000106045
bskyb,2,0.000212089
bud,1,0.000106045
buddha,1,0.000106045
budget,2,0.000212089
buena,1,0.000106045
buffalo,1,0.000106045
build,9,0.000954401
bum,1,0.000106045
bumbl,1,0.000106045
bumper,2,0.000212089
bumpin,1,0.000106045
bundesbank,1,0.000106045
bunni,1,0.000106045
burden,1,0.000106045
bureau,1,0.000106045
burn,1,0.000106045
bus,1,0.000106045
busi,14,0.001378579
butler,1,0.000106045
butt,1,0.000106045
button,2,0.000212089
buy,5,0.000530223
buyer,2,0.000212089
bweni,1,0.000106045
bypass,1,0.000106045
børs,1,0.000106045
cabbag,1,0.000106045
cabinet,1,0.000106045
cabl,1,0.000106045
cach,6,0.000636267
cadi,1,0.000106045
cagley,2,0.000212089
cake,6,0.000636267
calibr,1,0.000106045
california,3,0.000318134
call,13,0.001378579
calligraphi,1,0.000106045
calv,1,0.000106045
came,6,0.000636267
camp,2,0.000212089
campaign,3,0.000318134
can,56,0.005726405
canada,1,0.000106045
canadian,1,0.000106045
canal,1,0.000106045
cancel,3,0.000318134
cancer,1,0.000106045
candid,3,0.000318134
candl,1,0.000106045
cant,1,0.000106045
cantab,1,0.000106045
capac,1,0.000106045
capit,1,0.000106045
captain,1,0.000106045
car,9,0.000848356
carbon,1,0.000106045
card,7,0.000636267
cardiac,1,0.000106045
cardin,3,0.000318134
cardstock,1,0.000106045
care,10,0.000742312
career,3,0.000318134
carey,1,0.000106045
caribbean,1,0.000106045
carolina,1,0.000106045
carpet,2,0.000212089
carreta,1,0.000106045
carri,1,0.000106045
carrot,1,0.000106045
case,4,0.000424178
cash,2,0.000212089
cassotto,1,0.000106045
cast,1,0.000106045
castleton,1,0.000106045
cat,1,0.000106045
catch,2,0.000212089
caught,2,0.000212089
cauliflow,1,0.000106045
caus,5,0.000530223
cc,2,0.000212089
cd,1,0.000106045
cds,1,0.000106045
ce,7,0.000742312
cedar,1,0.000106045
celebr,3,0.000318134
cell,2,0.000212089
cement,1,0.000106045
center,6,0.000530223
centerpiec,1,0.000106045
central,3,0.000318134
centuri,1,0.000106045
ceo,1,0.000106045
cf,1,0.000106045
ch,1,0.000106045
chaaaa,1,0.000106045
chad,1,0.000106045
chair,4,0.000424178
challeng,3,0.000318134
champ,1,0.000106045
chanc,2,0.000212089
chandler,5,0.000530223
chang,15,0.001590668
channel,1,0.000106045
chansi,1,0.000106045
chapman,1,0.000106045
chapter,1,0.000106045
charact,3,0.000318134
charg,5,0.000530223
charl,2,0.000212089
chase,2,0.000212089
cheap,1,0.000106045
cheat,1,0.000106045
check,14,0.001378579
chees,1,0.000106045
cherish,1,0.000106045
cherri,2,0.000212089
chest,2,0.000212089
chicago,2,0.000212089
chick,3,0.000318134
chicken,1,0.000106045
chickiewhawha,1,0.000106045
chief,2,0.000212089
child,1,0.000106045
childhood,1,0.000106045
children,5,0.000530223
chile,1,0.000106045
chilean,1,0.000106045
chill,3,0.000318134
chiller,1,0.000106045
chillin,1,0.000106045
chimpanze,1,0.000106045
chip,1,0.000106045
chlamydia,1,0.000106045
chloe,1,0.000106045
chocol,3,0.000318134
choic,2,0.000212089
choos,3,0.000318134
chorus,1,0.000106045
chose,2,0.000212089
chosen,1,0.000106045
chris,2,0.000212089
christ,1,0.000106045
christensen,1,0.000106045
christian,2,0.000212089
chrome,1,0.000106045
chronolog,1,0.000106045
chula,1,0.000106045
chunk,2,0.000212089
chupacabra,1,0.000106045
church,5,0.000530223
cia,1,0.000106045
cilantro,1,0.000106045
cinco,1,0.000106045
circl,2,0.000212089
circumst,2,0.000212089
citat,1,0.000106045
citi,11,0.00116649
citizen,3,0.000318134
civil,2,0.000212089
civilian,1,0.000106045
cj,1,0.000106045
claim,4,0.000424178
clam,2,0.000212089
clap,1,0.000106045
clarifi,1,0.000106045
clarinet,1,0.000106045
clark,1,0.000106045
class,5,0.000530223
classic,1,0.000106045
clean,6,0.000636267
clear,2,0.000212089
cleveland,2,0.000212089
click,1,0.000106045
client,3,0.000318134
clifbar,1,0.000106045
cliff,1,0.000106045
clifton,1,0.000106045
clinton,1,0.000106045
clip,1,0.000106045
clm,1,0.000106045
close,8,0.000848356
closer,2,0.000212089
closest,1,0.000106045
cloth,3,0.000318134
club,2,0.000212089
clue,1,0.000106045
clusterfuck,1,0.000106045
clutch,1,0.000106045
co,1,0.000106045
coach,6,0.000636267
coast,2,0.000212089
coat,1,0.000106045
cobbler,1,0.000106045
cockroach,1,0.000106045
cod,1,0.000106045
code,2,0.000212089
coffe,3,0.000318134
coffeeshop,1,0.000106045
coinsur,1,0.000106045
cold,1,0.000106045
cole,2,0.000212089
coleridg,1,0.000106045
colleagu,1,0.000106045
collector,1,0.000106045
colleg,3,0.000318134
collegi,1,0.000106045
collis,1,0.000106045
coloni,1,0.000106045
color,3,0.000318134
colorado,2,0.000212089
colour,1,0.000106045
colton,1,0.000106045
com,4,0.000424178
comad,1,0.000106045
combin,1,0.000106045
come,25,0.002651113
comedian,1,0.000106045
comlpiment,1,0.000106045
commemor,1,0.000106045
comment,3,0.000318134
commerci,3,0.000318134
commission,2,0.000212089
commit,1,0.000106045
committe,1,0.000106045
common,2,0.000212089
communiti,2,0.000212089
commut,1,0.000106045
compani,8,0.000848356
compar,2,0.000212089
compass,1,0.000106045
competit,2,0.000212089
compil,1,0.000106045
complain,2,0.000212089
complet,8,0.000848356
compliment,1,0.000106045
compon,1,0.000106045
compound,2,0.000212089
compromis,1,0.000106045
comput,2,0.000212089
con,1,0.000106045
conaway,1,0.000106045
conc,2,0.000212089
concentr,2,0.000212089
concept,1,0.000106045
concern,4,0.000424178
conclud,1,0.000106045
condemn,1,0.000106045
condit,3,0.000318134
conduct,1,0.000106045
cone,1,0.000106045
confer,5,0.000530223
confid,1,0.000106045
conflict,1,0.000106045
confront,2,0.000212089
confus,2,0.000212089
congrat,2,0.000212089
congratul,2,0.000212089
connect,3,0.000318134
connick,1,0.000106045
consecut,1,0.000106045
consequ,1,0.000106045
conserv,1,0.000106045
consid,3,0.000318134
consider,1,0.000106045
consign,1,0.000106045
consist,1,0.000106045
constant,1,0.000106045
constitu,1,0.000106045
construct,3,0.000318134
consum,1,0.000106045
contact,3,0.000318134
contend,1,0.000106045
contest,2,0.000212089
context,1,0.000106045
continu,6,0.000636267
contract,2,0.000212089
contractor,1,0.000106045
contribut,4,0.000424178
control,3,0.000318134
conveni,1,0.000106045
convers,2,0.000212089
convict,2,0.000212089
cook,1,0.000106045
cooki,4,0.000424178
cool,4,0.000424178
cooper,1,0.000106045
coordin,1,0.000106045
cop,1,0.000106045
copley,1,0.000106045
copyeditor,1,0.000106045
cord,1,0.000106045
core,2,0.000212089
corn,1,0.000106045
corner,3,0.000212089
cornet,1,0.000106045
cornetist,1,0.000106045
cornwal,1,0.000106045
correct,5,0.000530223
corridor,1,0.000106045
corrupt,1,0.000106045
cosmos,1,0.000106045
cost,9,0.000954401
costum,1,0.000106045
cou,4,0.000318134
couch,2,0.000212089
couldn,1,0.000106045
council,5,0.000530223
councilman,2,0.000212089
count,4,0.000424178
counter,1,0.000106045
counti,5,0.000530223
countri,8,0.000848356
coupl,5,0.000530223
cours,3,0.000318134
cousin,1,0.000106045
cover,2,0.000212089
coverag,1,0.000106045
covey,1,0.000106045
cowboy,1,0.000106045
cox,2,0.000212089
cps,1,0.000106045
crab,2,0.000212089
craccc,1,0.000106045
crack,4,0.000424178
craft,2,0.000212089
craig,1,0.000106045
cram,1,0.000106045
crash,2,0.000212089
crazi,4,0.000424178
cream,3,0.000318134
creat,8,0.000848356
creation,2,0.000212089
creativ,4,0.000424178
credit,1,0.000106045
crew,2,0.000212089
cri,2,0.000212089
crime,1,0.000106045
crimin,3,0.000318134
crippl,1,0.000106045
crisi,3,0.000318134
critic,2,0.000212089
crook,1,0.000106045
cross,4,0.000424178
crown,1,0.000106045
cruis,2,0.000212089
crush,2,0.000212089
crystal,1,0.000106045
cub,2,0.000212089
cube,2,0.000212089
cufon,2,0.000212089
culpabl,1,0.000106045
cultur,1,0.000106045
cumbersom,1,0.000106045
cup,1,0.000106045
cupid,1,0.000106045
curat,1,0.000106045
curl,1,0.000106045
current,2,0.000212089
cushion,1,0.000106045
custom,4,0.000424178
cut,11,0.00116649
cute,2,0.000212089
cypress,1,0.000106045
côte,1,0.000106045
dad,2,0.000212089
daddi,1,0.000106045
daili,1,0.000106045
dalla,1,0.000106045
dammnnnnn,1,0.000106045
damn,1,0.000106045
dan,2,0.000212089
danc,4,0.000424178
darin,1,0.000106045
dark,1,0.000106045
data,3,0.000318134
daughter,3,0.000318134
davi,2,0.000212089
david,2,0.000212089
day,43,0.003287381
dd,1,0.000106045
de,3,0.000318134
dead,6,0.000636267
deal,6,0.000636267
dear,2,0.000212089
death,6,0.000636267
debri,1,0.000106045
debt,2,0.000212089
dec,1,0.000106045
decad,1,0.000106045
decemb,1,0.000106045
decid,7,0.000742312
decis,2,0.000212089
deck,1,0.000106045
decker,1,0.000106045
declin,1,0.000106045
decor,1,0.000106045
decreas,1,0.000106045
decripit,1,0.000106045
dedic,1,0.000106045
deduct,1,0.000106045
deep,2,0.000212089
def,3,0.000318134
defens,6,0.000636267
definit,3,0.000318134
degre,2,0.000212089
delet,1,0.000106045
deliber,1,0.000106045
delici,1,0.000106045
deliv,1,0.000106045
deliveri,1,0.000106045
della,2,0.000212089
delv,1,0.000106045
demand,2,0.000212089
democrat,2,0.000212089
demor,1,0.000106045
deni,1,0.000106045
denson,1,0.000106045
depa,2,0.000212089
depend,3,0.000318134
depict,1,0.000106045
deplor,1,0.000106045
depth,1,0.000106045
deregul,1,0.000106045
derek,2,0.000212089
descent,1,0.000106045
deserv,2,0.000212089
design,6,0.000636267
desk,1,0.000106045
despit,1,0.000106045
detect,2,0.000212089
deton,1,0.000106045
detox,1,0.000106045
detroit,1,0.000106045
dev,2,0.000212089
develop,7,0.000742312
devic,1,0.000106045
devot,1,0.000106045
dewin,2,0.000212089
di,1,0.000106045
diagram,1,0.000106045
dialogu,2,0.000212089
didn,9,0.000954401
didnt,1,0.000106045
die,11,0.00116649
diego,1,0.000106045
diet,1,0.000106045
differ,9,0.000848356
difficult,4,0.000424178
difficulti,2,0.000212089
digg,3,0.000318134
digiday,1,0.000106045
digit,3,0.000318134
digniti,1,0.000106045
digress,1,0.000106045
dime,1,0.000106045
dimens,1,0.000106045
dimitri,1,0.000106045
dimora,1,0.000106045
dine,3,0.000318134
dingamo,1,0.000106045
dinner,3,0.000318134
dip,1,0.000106045
direct,4,0.000424178
director,3,0.000318134
disabl,1,0.000106045
disapprov,1,0.000106045
disarm,1,0.000106045
disast,2,0.000212089
disco,1,0.000106045
discount,1,0.000106045
discov,1,0.000106045
discreet,1,0.000106045
discuss,3,0.000318134
diseas,1,0.000106045
disenfranchis,1,0.000106045
disguis,1,0.000106045
disgust,1,0.000106045
dish,1,0.000106045
dislodg,1,0.000106045
disney,1,0.000106045
disobedi,1,0.000106045
dispos,1,0.000106045
disrespect,1,0.000106045
dissent,1,0.000106045
disson,1,0.000106045
distanc,1,0.000106045
district,3,0.000318134
disturb,1,0.000106045
ditch,1,0.000106045
divin,1,0.000106045
divis,1,0.000106045
divorc,1,0.000106045
dixieland,1,0.000106045
dj,1,0.000106045
djsosnekspqnslanskam,1,0.000106045
dk,1,0.000106045
dla,1,0.000106045
dm,1,0.000106045
doabl,1,0.000106045
doan,1,0.000106045
doctor,1,0.000106045
document,1,0.000106045
doesn,12,0.001272534
doesnt,2,0.000212089
dog,3,0.000318134
dogtooth,1,0.000106045
doin,1,0.000106045
dole,1,0.000106045
doll,1,0.000106045
dollar,3,0.000318134
dome,1,0.000106045
don,42,0.004029692
donat,3,0.000318134
done,2,0.000212089
donovan,1,0.000106045
dont,2,0.000212089
door,3,0.000318134
dorm,1,0.000106045
doubl,3,0.000318134
doubt,2,0.000212089
doug,1,0.000106045
download,1,0.000106045
downtown,1,0.000106045
downward,1,0.000106045
dozen,2,0.000212089
dr,4,0.000424178
draft,5,0.000530223
drag,1,0.000106045
drage,1,0.000106045
drama,1,0.000106045
draw,1,0.000106045
drawn,1,0.000106045
dream,2,0.000212089
dress,2,0.000212089
dri,2,0.000212089
dribbler,1,0.000106045
drill,3,0.000318134
drink,5,0.000530223
drive,1,0.000106045
driver,4,0.000424178
driveway,1,0.000106045
drool,1,0.000106045
drop,5,0.000530223
drove,1,0.000106045
drug,2,0.000212089
drum,3,0.000318134
drunk,1,0.000106045
druri,1,0.000106045
dublin,3,0.000318134
duck,2,0.000212089
dude,3,0.000318134
due,5,0.000530223
dug,2,0.000212089
duh,1,0.000106045
dumb,1,0.000106045
dumbass,1,0.000106045
dusk,1,0.000106045
dusti,1,0.000106045
dvds,1,0.000106045
dwn,1,0.000106045
dwyer,1,0.000106045
dynam,1,0.000106045
earli,7,0.000742312
earlier,3,0.000318134
earn,1,0.000106045
earnest,2,0.000212089
eas,1,0.000106045
easi,3,0.000318134
easier,2,0.000212089
east,1,0.000106045
eastern,2,0.000106045
eat,6,0.000636267
eaten,1,0.000106045
ecb,1,0.000106045
echo,2,0.000212089
eckhard,1,0.000106045
eclips,1,0.000106045
econom,2,0.000212089
economi,1,0.000106045
ecuador,1,0.000106045
ed,8,0.000424178
edg,1,0.000106045
edgi,1,0.000106045
edison,1,0.000106045
edit,3,0.000318134
editor,1,0.000106045
educ,5,0.000530223
edward,3,0.000318134
edwards,1,0.000106045
eel,1,0.000106045
ef,1,0.000106045
effect,6,0.000636267
effici,2,0.000212089
effo,2,0.000212089
egg,2,0.000212089
eh,1,0.000106045
eight,2,0.000212089
either,5,0.000530223
elam,1,0.000106045
elect,3,0.000318134
electr,1,0.000106045
electron,1,0.000106045
element,2,0.000212089
elev,1,0.000106045
elimin,1,0.000106045
ellen,1,0.000106045
els,8,0.000636267
elsewher,1,0.000106045
em,1,0.000106045
email,4,0.000424178
embassyofbrazil,1,0.000106045
emboss,2,0.000212089
embrac,1,0.000106045
emerg,1,0.000106045
emiss,1,0.000106045
emma,1,0.000106045
emot,1,0.000106045
empangeni,1,0.000106045
emphasi,2,0.000212089
employ,1,0.000106045
employe,4,0.000424178
en,1,0.000106045
enclosur,1,0.000106045
encourag,2,0.000212089
end,10,0.001060445
endow,1,0.000106045
energ,1,0.000106045
energi,6,0.000636267
enforc,2,0.000212089
engag,1,0.000106045
engin,4,0.000424178
england,1,0.000106045
enhanc,1,0.000106045
enjoy,4,0.000424178
enorm,1,0.000106045
enough,8,0.000848356
ensur,2,0.000212089
ent,3,0.000318134
enter,5,0.000530223
enthusiast,1,0.000106045
entic,1,0.000106045
entir,2,0.000212089
environ,4,0.000424178
environment,1,0.000106045
eoin,1,0.000106045
epicurean,1,0.000106045
episod,2,0.000212089
equip,2,0.000212089
equiti,3,0.000318134
er,3,0.000212089
eric,3,0.000318134
erica,1,0.000106045
erin,1,0.000106045
escal,2,0.000212089
escapad,1,0.000106045
especi,3,0.000318134
esperanza,1,0.000106045
essex,1,0.000106045
est,1,0.000106045
establish,3,0.000318134
estat,2,0.000106045
estim,1,0.000106045
etern,1,0.000106045
ethiopia,1,0.000106045
euphonium,1,0.000106045
european,2,0.000212089
evalu,1,0.000106045
eve,1,0.000106045
even,16,0.001696713
event,3,0.000318134
eventu,3,0.000318134
ever,8,0.000848356
everi,13,0.001378579
everybodi,4,0.000424178
everyon,9,0.000954401
everyth,7,0.000742312
evict,1,0.000106045
evid,2,0.000212089
ex,1,0.000106045
exact,1,0.000106045
exam,1,0.000106045
examin,1,0.000106045
exampl,1,0.000106045
excel,3,0.000318134
except,4,0.000424178
exchang,1,0.000106045
excit,4,0.000424178
exclud,1,0.000106045
exclus,1,0.000106045
excus,1,0.000106045
exempt,1,0.000106045
exercis,2,0.000212089
exist,6,0.000530223
exot,1,0.000106045
exp,1,0.000106045
expand,2,0.000212089
expans,1,0.000106045
expect,2,0.000212089
expens,4,0.000424178
experi,5,0.000530223
experiment,1,0.000106045
explod,1,0.000106045
explor,1,0.000106045
express,2,0.000212089
extend,1,0.000106045
extent,2,0.000212089
extra,2,0.000212089
extraordinari,1,0.000106045
extrem,3,0.000318134
extrema,1,0.000106045
eye,2,0.000212089
face,7,0.000742312
facebook,2,0.000212089
facil,2,0.000212089
fact,3,0.000318134
factor,3,0.000318134
fade,1,0.000106045
fail,4,0.000424178
faint,1,0.000106045
fairi,1,0.000106045
faith,2,0.000212089
fall,5,0.000530223
fallout,1,0.000106045
famili,10,0.001060445
fan,2,0.000212089
fantast,3,0.000318134
far,5,0.000530223
fare,1,0.000106045
farm,1,0.000106045
fashion,2,0.000212089
fast,4,0.000424178
faster,1,0.000106045
fat,1,0.000106045
father,4,0.000424178
fault,2,0.000212089
fav,1,0.000106045
fave,2,0.000106045
favor,1,0.000106045
favorit,4,0.000424178
fb,2,0.000212089
fdni,1,0.000106045
fear,3,0.000318134
feast,1,0.000106045
featheri,1,0.000106045
featur,3,0.000318134
februari,4,0.000424178
fed,2,0.000212089
feder,3,0.000318134
fee,1,0.000106045
feel,22,0.002226935
feet,4,0.000424178
fell,1,0.000106045
fellow,1,0.000106045
felt,4,0.000424178
fender,1,0.000106045
ferriero,1,0.000106045
festiv,1,0.000106045
fewest,1,0.000106045
ff,1,0.000106045
field,7,0.000742312
fieri,1,0.000106045
fiesta,1,0.000106045
fifth,1,0.000106045
fight,4,0.000424178
figur,1,0.000106045
file,2,0.000212089
fill,2,0.000212089
fillet,1,0.000106045
film,6,0.000636267
fin,1,0.000106045
final,7,0.000742312
financ,1,0.000106045
financi,3,0.000318134
find,13,0.001378579
fine,2,0.000212089
finest,1,0.000106045
finis,1,0.000106045
finish,2,0.000212089
fire,3,0.000318134
firefox,1,0.000106045
firehous,1,0.000106045
first,35,0.003393425
