word1,word2,count,Cn1,Prob
amboy,avenu,1,1,0.2502386
amen,last,1,1,0.251590668
america,includ,1,4,0.063454401
america,reduc,1,4,0.062579533
america,top,1,4,0.063136267
america,will,1,4,0.066079003
american,price,1,3,0.083571934
american,samoa,1,3,0.083412867
american,small,1,3,0.083969601
ami,thach,1,1,0.250079533
amid,horrif,1,1,0.250079533
among,data,1,3,0.083571934
among,peac,1,3,0.083810534
among,smoker,1,3,0.0834924
amount,booz,1,6,0.0417462
amount,cost,1,6,0.042382467
amount,edit,1,6,0.041905267
amount,game,1,6,0.042939201
amount,scof,1,6,0.0417462
amount,water,1,6,0.042382467
amptoptrend,name,1,1,0.250556734
analog,switch,1,1,0.2502386
anchovi,pasta,2,2,0.625039767
anderson,check,1,2,0.126033934
anderson,kellih,1,2,0.125079533
andi,mcdonald,1,1,0.250159067
andr,sat,1,1,0.2502386
andrad,children,1,1,0.250397667
anesthesiologist,specialist,1,1,0.250079533
angel,pagan,1,2,0.125079533
angel,sing,1,2,0.125318134
angri,bird,1,2,0.1252386
angri,nightcrawl,1,2,0.125079533
anib,ramo,1,1,0.250079533
ankl,maxim,1,1,0.250159067
ann,gresh,1,1,0.250079533
anniversari,osama,1,1,0.250159067
announc,bweni,1,1,0.250079533
annual,cut,1,1,0.250874867
anoth,brick,1,12,0.020912867
anoth,brother,1,12,0.021151467
anoth,commit,1,12,0.020912867
anoth,day,1,12,0.023298869
anoth,larg,1,12,0.021071934
anoth,look,1,12,0.022105868
anoth,major,1,12,0.021231
anoth,plan,1,12,0.021708201
anoth,posit,1,12,0.021071934
anoth,road,1,12,0.021549134
anoth,rout,1,12,0.0209924
anoth,strong,1,12,0.021231
answer,purpl,1,4,0.0627386
answer,reign,1,4,0.062659067
answer,sad,1,4,0.062579533
answer,whatev,1,4,0.062659067
ant,brooklyn,1,6,0.0417462
ant,drage,1,6,0.0417462
ant,hit,1,6,0.042382467
ant,indic,1,6,0.0417462
ant,page,1,6,0.0419848
ant,thing,1,6,0.043734535
anti,social,1,1,0.250159067
anticip,tradit,1,1,0.250636267
antonio,tabucchi,1,2,0.125079533
antonio,vivaldi,1,2,0.125079533
anybodi,realli,1,1,0.251193001
anymor,thank,1,1,0.251352068
anyon,els,2,7,0.178980458
anyon,happi,1,7,0.036123315
anyon,inform,1,7,0.036191486
anyon,look,1,7,0.03680503
anyon,mention,1,7,0.035986972
anyon,paper,1,7,0.036123315
anyth,els,2,10,0.12542948
anyth,intrigu,1,10,0.02514316
anyth,like,1,10,0.029724284
anyth,new,1,10,0.027433722
anyth,pascetta,1,10,0.02507158
anyth,path,1,10,0.02521474
anyth,percent,1,10,0.02542948
